year,survey,samp,wave,code_province,age,sex,female,male,hh_size,marital_status,edu_years,edu_level,employed,unemployed,inactive,weight,occupation,health_insurance,homologate,reason_nohomologate,company,plan_residency,reason_migra,discriminated,integration_3_1,integration_3_2,integration_3_3,integration_3_4,integration_3_5,integration_3_6,integration_3_7,integration_3_8,entry_register
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,702.6491088867188,Services,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,949.3359375,Crafts,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,844.4573974609375,Crafts,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,844.4573974609375,Elementary/basic,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,718.1046752929688,Services,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,718.1046752929688,Clerical,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,2258.027099609375,Plants & Machinery,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,2258.027099609375,Services,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,1030.711303710938,Crafts,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,1030.711303710938,Crafts,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,108.9752578735352,Services,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,108.9752578735352,Services,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,209.8648223876953,Services,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,209.8648223876953,Clerical,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,230.6643829345703,Crafts,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,230.6643829345703,Services,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,198.4662322998047,Services,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,198.4662322998047,Elementary/basic,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,189.7386627197266,Crafts,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,230.6643829345703,Services,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,19.28044319152832,Crafts,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,976.1375732421875,Clerical,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,1254.552734375,Plants & Machinery,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,1152.17919921875,Crafts,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,759.384765625,Elementary/basic,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,759.384765625,Crafts,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,759.384765625,Clerical,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,759.384765625,Elementary/basic,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,759.384765625,Elementary/basic,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,950.8162231445313,Plants & Machinery,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,951.31201171875,Professionals,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,951.31201171875,Professionals,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,878.0292358398438,Agriculture,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,878.0292358398438,Professionals,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,747.9645385742188,Crafts,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,747.9645385742188,Clerical,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,747.9645385742188,Services,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,810.3916625976563,Professionals,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,810.3916625976563,Clerical,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,747.9644775390625,Services,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,99.07845306396484,Technicians,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,23929.08203125,Services,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,23929.08203125,Agriculture,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,23929.08203125,Agriculture,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,23929.08203125,Crafts,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,28072.833984375,Agriculture,,,,,,,,,,,,,,,,
2019,EPEC,Hosts,1,Azuay,,,,,,,,,,,,28072.833984375,Agriculture,,,,,,,,,,,,,,,,
